id,card01,card02,card03,card04,card05,card06,card07,card08,card09,card10,card11,card12,sub
77,10303.31,0,440.9,171.22,2,85,0,35.3,10.74,78.4,3624.3,5855.45,0
82,4061.63,0,12.7,475.16,0,27.8,0,235.5,0,82.99,119.7,3107.78,0
83,4943,15,95,563.33,12,44.55,0,262.98,7.5,63,437.86,3441.78,0
88,11589.9,0,459.6,612.55,86.2,1,0,222.5,0,45.9,1139.4,9022.75,0
89,5196.54,0,3.9,394.69,0,3,0,674.8,0,42.4,789,3288.75,0
92,6200.14,0,25.4,697.03,22.5,0.7,0,35.48,33.06,38.9,458.6,4888.47,1000
93,9919.71,0,139.5,788.24,8.5,9.25,0,349.4,55.74,197.6,1018.04,7353.44,1000
98,8594.55,0,45.4,1513.62,10,13.9,0,84.86,9.6,36.5,784.2,6096.47,0
99,8206.18,7,253.5,1045.53,0,33,0,463.2,24.06,61.8,1209.93,5108.16,1000
112,5979.94,1.8,32.1,1431.43,0,19.5,0,1066.3,0,54.6,31.5,3342.71,0
113,4198.03,0,10.5,1185.81,0,0.3,0,273.66,18,199.36,84.5,2425.9,0
118,12097.97,0,153.9,4283.81,0,7.8,0,984.26,11.9,153.1,0,6503.2,0
119,9261.57,0,25.4,2729.17,15,3,0,655.4,48.3,115.7,183.8,5485.8,0
138,10803.34,0,93.8,3080.5,0,0,3,1533.49,3,4.9,49.4,6035.25,1000
139,10514.11,0,311.85,2525.13,0,22.8,1,1089.05,3.6,182.36,252.6,6125.72,0
142,5040.66,4,28.9,477.75,41,24.9,0,230.6,7.32,78.5,606.28,3541.41,0
143,8758.71,0,260.7,644.07,68,79.15,0,357.6,91.48,210.9,837.7,6209.11,0
152,11800.87,14,20.7,3554.55,0,0,0,1568.41,36.2,232.76,3.1,6371.15,0
153,13706.72,243.82,151,3213.76,14.5,36.85,0,2206.7,0,186.39,87.2,7566.5,0
154,12310.95,1.5,47.95,4516.52,3.6,11.8,0,1046.41,17,59.52,229.2,6377.45,0
155,12033.66,0,101.75,3657.55,0,16.3,0,953.66,15.48,171.08,274.9,6842.94,0
158,6436.93,0,286.8,1081.07,0,0,0,131.5,86,96.56,620.4,4134.6,0
159,10981.76,0,39.05,2723.45,0,13.85,0,1777.45,43.08,360.18,136,5888.7,0
160,6652.94,0,107,949.87,6.5,8.6,0,664.9,28.2,187.4,440.42,4260.05,1000
161,7987.81,0,168.67,1465.22,0,22.1,0,920.2,24.24,437.8,10.6,4938.98,1000
162,8827.08,0,183.7,1300.21,0,4.7,0,207.83,50.64,132.51,847.9,6099.59,0
163,6666.63,0,72.73,1294.33,0,15.6,0,1459.6,40.06,23.01,127.4,3633.9,0
172,6539.85,0,159.9,1425.62,18,5.9,0,1229,28,34.2,70.2,3569.03,0
173,2343.8,0,18,444.2,0,10.8,0,440.5,0,50.5,51.2,1328.6,0
178,13196.65,4,97.2,2623.09,0,364.1,5,2166.8,31.3,305.73,2.25,7597.18,0
179,4720.35,0,130.02,974.56,0,8.1,0,632.1,0,74.62,118.4,2782.55,0
184,10034.19,0,438.3,936.6,46,16,0,463.29,35.34,101.23,576.6,7420.83,0
185,11055.04,0,77.3,2477.4,35,13.5,17,2150.85,49.86,79.08,303.4,5851.65,0
186,8078.19,0,115,807.38,1.45,0,0,129.6,69.48,75.5,857.8,6021.98,1000
187,13476.55,0,239.58,3681.96,0,13,0,1352.96,66.48,440.1,299.2,7383.27,0
192,8716.14,0,11.13,2799.68,0,0,0,678.63,4,704.3,4.4,4514,0
193,8127.78,0,34.8,2268.85,0,0.3,0,929,36,119.6,33.2,4706.03,0
194,8910.16,0.3,29.6,2071.85,0,0,0,1434.56,0,22.3,138.9,5212.65,0
195,6388.17,0,121.59,1604.47,0,41,0,905.8,10.8,162.01,67.4,3475.1,0
198,5605.15,0,46.75,1372.03,28,53.96,276,605.2,0,73.6,9.6,3140.01,0
199,4107.55,0,73.7,810.45,0,0.6,316,526.4,0,83.9,4,2292.5,0
206,5041.44,1.5,29.3,1783.14,0,18.5,0,492.4,0,88.6,1,2627,0
207,2794.31,0,12.3,866.87,0,0,0,243.5,3.66,18.1,0,1649.88,0
212,11169.14,0,293.5,871.89,0,3.7,0,347.18,0,74.1,1987.8,7590.97,0
213,9522.31,0,101.5,318.73,23,270,0,213.27,7.2,112.7,1621.8,6854.11,0
216,15832.48,0.47,55.9,1464.37,0,20.5,0,96.85,46.8,202.5,2414.4,11530.69,0
217,9794.59,0,67.6,605.02,6.8,29.8,0,163.7,188.58,360,2290.2,6082.89,0
220,7049.88,0,3,1048.6,0,1.3,0,86.5,10.26,86.2,533.5,5280.52,2000
221,663.85,0,19,55.1,0,8,0,17.7,0,54.8,9.1,500.15,2000
224,2911.09,0,0,344.44,30.2,6.2,0,145.9,0,17.3,183.1,2183.95,0
225,2881.55,0,0,241.88,0,0.85,0,319.85,0,14.2,138.54,2166.23,0
230,15839.17,0,52.2,2123.62,1.5,0.6,0,201,99.78,345.9,1495.27,11519.3,0
231,14870.48,0,576.2,957.65,69.18,171.4,0,177.5,133.14,446.8,1027.2,11311.41,0
232,7208.52,0,77.3,390.37,21.1,0,0,104.6,18.3,46.9,938.67,5611.28,1000
233,7863.22,0,235.5,480.46,13.1,4.15,0,40.4,25.2,46.6,960.42,6057.39,0
236,9915.1,0,9.8,535.21,25.65,0.12,0,222.7,25.2,66.3,1377.8,7652.32,0
237,9045.64,0,43.6,419.08,0,9.85,0,284.9,112.74,155.7,641.5,7378.27,0
238,11641.4,22,478,1002.92,0,10,0,220.4,73.14,128.17,989.4,8717.37,1000
239,10419.41,0,334.9,818.61,6,31.75,0,236.74,79.92,123.94,1018.8,7768.75,0
244,4842.72,0.03,217.4,265.42,0,0,0,391.1,72.78,87.2,262,3546.79,1000
245,2988.46,0,176.9,89.27,30,6.4,0,50.9,3.06,52.1,277.2,2302.63,1000
254,9081.58,0,79.1,1046.5,60.56,6.8,0,223.76,84.58,89.77,897.52,6592.99,0
255,7436.73,0,194.2,504.44,0,25.45,0,114.9,116.1,199.7,643.7,5638.24,0
258,8536.44,0,146.3,1118.23,14,2.2,0,240.8,65.16,141.05,1752.7,5056,0
259,5441.59,0,237.3,464.33,0,23.2,0,78.9,90.66,141.8,1326.2,3079.2,0
266,2066.15,0,130.3,147.93,63.72,17.7,0,44.5,6.3,8,161.34,1486.36,0
267,7820.93,0,410.2,335.04,29.5,21.9,0,166.8,38.1,126.2,691.1,6002.09,0
282,22586.34,0,36.3,1574.32,1.8,20.76,0,609.15,36.22,49.71,3456.3,16801.78,0
283,10064.15,69.44,71.2,421.08,0,1.35,0,155.1,50.28,23,1734.1,7538.6,0
288,15505.51,0,0,2324.05,4,13.6,0,422.63,174.48,76.8,1911.6,10578.35,0
289,18350.35,0,322,2637.57,0.6,1.05,0,456.95,260.88,80.4,3140.8,11450.1,0
294,11275.52,0,154.7,1127.93,0,74.9,3.6,230.34,27.7,19.9,1258.09,8378.36,0
295,8611.64,0,111.3,432.42,5.6,39.2,0,214.4,0,17.4,823,6968.32,0
296,11235.49,0.01,19.4,1178.39,15,3.9,0,216.8,126.22,15.7,1111.91,8548.16,1500
297,10482.59,0,37.9,948.16,11.5,22.85,0,308.15,111.48,50,482.6,8509.95,2000
300,22565.75,0,446.7,2743.72,6.5,2,0,106.15,49.38,72.08,4233.9,14905.32,0
301,21047.77,0,768.61,2451.39,17,106.75,0,54.9,21.48,10.2,4107.72,13509.72,0
306,3151.24,0,61,339.73,0,7.8,0,114.8,6.24,8.3,328.6,2284.77,0
307,5876.87,0,177.92,516.87,21.9,21.7,0,231.7,13.38,3.02,358.37,4532.01,0
322,12031.23,0.15,24.2,1855.08,2.4,4.9,0,152.23,2.04,1.5,2207.32,7781.41,0
323,16259.4,0,311.7,1384.45,23.2,36.2,0,300.39,3.6,32,2668.3,11499.56,0
330,12388.07,0,232.1,999.85,91.72,47.71,3.12,335.6,92.08,161.7,1667.26,8756.93,0
331,11312.42,0,130.1,1794.81,5,6.6,0,169.93,88.08,244.1,1369.2,7504.6,0
346,21820.06,2.1,571.6,1925.42,20.8,0.8,0,1119.86,29.82,18.5,1932.3,16198.86,0
347,17532.98,0,844.9,1154.12,73.4,57.75,0,779.3,23.58,8.8,1210.8,13380.33,0
352,9479.71,0,64.9,1047.82,28.2,0.3,0,167.96,13.38,32,1331.45,6793.7,0
353,6463.83,0,178.5,693.79,1.7,17.25,0,132.1,3.12,15.4,1335.8,4086.17,0
354,13164.02,0.81,272.2,1158.58,0,9.9,0,219.66,34.98,86.8,926.98,10454.11,0
355,13185.06,20,283.3,1437.6,109.5,48.45,0,492.4,48.3,91.1,1254.1,9400.31,0
366,5793.1,0,19.4,730.97,26.1,1.1,0,88.7,5.3,34.9,478.61,4408.02,0
367,3330.82,0,21.8,337.7,0,11,0,21,0,0,360.4,2578.92,0
368,3569.48,0,1,339.26,11.6,0.3,0,133.45,2.58,22.83,669.1,2389.36,0
369,4027.97,0,165.7,338.4,0,0,0,158.3,0,0,443.7,2921.87,0
372,6472.66,0,617.6,949.56,0,0,20,414.4,20.6,277.05,182.2,3991.25,0
373,3310.07,0,134.9,583.75,0,0.9,0,347.7,25.98,117.44,137.7,1961.7,0
398,9628.37,0,33.8,2180.9,54,9.36,0,1325.09,0,867.3,0,5157.92,1000
399,17574.55,0,418.9,3692.31,0,8,0,2032.89,108.06,1355.99,140.1,9818.3,1000
400,2363.21,0,85.2,479.91,0,66.8,38.5,329.2,4,0.6,114.2,1244.8,0
401,2028.22,0,14.9,440.75,0,10.5,38,236.75,0,9.6,80.6,1197.12,0
406,3311.69,0,0,1149.39,0,0,0,179.5,0,18.5,4.9,1959.4,0
407,93.47,0,0,0,0,0,0,0,0,0,0,93.47,0
408,5927.94,0,32.3,2344.2,0,9.6,0,315.69,0,60.36,6,3159.79,1500
409,10346.15,0,136.56,3475.57,0,16.6,3.5,926.53,18,71.79,50.9,5646.7,2000
412,5877.47,5,215.2,493.69,0,36,0,263.83,80.78,189.7,139.9,4453.37,1000
413,7089.37,0,360.8,615.48,33.3,15.5,0,324.5,107.58,225.43,429.6,4977.18,1000
426,15373.98,100,38.1,1192.7,50,68.5,0,513.94,87.72,261.1,1459.78,11602.14,0
427,14686.07,0,170.1,560.86,10.8,51,0,334.8,242.52,262.34,1192.9,11860.75,0
430,8536.95,0,63.9,449.8,5,0,0,136,40.26,100.7,1956.19,5785.1,1000
431,8591.94,0,448.6,554.1,49,36.5,0,160.7,119.16,96.7,1305,5822.18,1000
438,10306.31,15,207.2,367.32,10,0,0,157.88,31.56,318.3,1736.4,7462.65,0
439,7310.88,0,289.3,299.59,95.3,41.5,0,150.6,70.5,141.6,950.6,5271.89,0
440,10427.28,0,167.3,518.79,0,5,0,228.4,121.74,161.6,1578.94,7645.51,0
441,10826.95,0,244.88,2073,0,126,47.9,821.1,169.58,173.35,476.7,6694.44,0
448,12461.62,0,159.1,891.05,95,38.4,0,114.44,85.44,315.5,931.23,9831.46,0
449,13646.08,15,647.2,586.89,18,145.2,0,270.8,115.08,393.29,817.24,10637.38,0
450,12745.73,0.01,113.4,479.74,5,6,0,144.1,98.8,295.61,1391.6,10211.47,0
451,10714.17,0,308.2,575.85,36,15.15,0,260.8,165,118.5,1253.42,7981.25,0
470,9709.87,0,88.5,1533.21,0,10,0,102.28,22.08,39.5,527,7387.3,0
471,9765.87,0,43.1,1039.47,6.3,4.75,0,1050.6,74.1,139.95,1205,6202.6,0
476,9913.94,0,37.5,1079.2,57,20.3,0,258.04,46.36,114.9,414.94,7885.7,2000
477,10598.17,0,87.2,865.35,5.3,10,0,525.2,108.54,145.8,463.5,8387.28,1500
480,9086.02,0,46.6,1267.35,15.5,9,0,185.75,21.66,54.6,404.37,7081.19,1500
481,11497.91,108.82,124.8,614.52,41,123.25,0,301.65,69.06,84.35,572,9458.46,0
496,14026.13,0,780.62,427.42,0,0,0,240.6,29.46,180.9,643.3,11723.83,0
497,14040.86,0,537,435.64,16,182.45,0,84.9,98.52,154.6,671.4,11860.35,0
504,8849.64,7,204.4,930.51,57,0.3,0,109.97,0,63.78,1271.2,6205.48,0
505,22671.39,14,384.9,1711.74,30,52.5,0,19,13.2,11.23,3571.6,16863.22,0
508,13752.04,0,17,377.49,30,0.1,0,77.58,20.4,190.8,2138.6,10900.07,0
509,13745.08,61.68,145.1,883.09,36.3,74.35,0,168.5,60.48,276.7,663.1,11375.78,0
510,8471.49,0,118.2,1204.75,0,0,0,50.6,76.86,107.3,1191.8,5721.98,1000
511,9331.67,62.74,94.2,513.37,0,6.6,0,126.5,151.74,86.6,665.53,7624.39,0
522,7807.87,0,34.4,792.59,35.7,21.5,0,174.48,36.78,59.48,323.9,6329.04,1500
523,8639.58,0,101.7,1080.77,47,14.35,0,231.36,73.8,81.2,539.35,6470.05,1500
524,11416.2,0,200,328.76,61.1,6,0,268.42,39.3,158.8,2041,8312.82,0
525,21982.94,0,234.3,377.4,62.8,86.6,0,236.8,110.46,79.8,1657.9,19136.88,0
528,13046.5,0,55.2,419.34,84.5,14.5,0,437.88,73.5,167.8,2708.44,9085.34,1000
529,16205.02,0,339.3,549.27,35.9,372.85,0,349.6,189,130.9,2518,11720.2,1000
532,10095.69,0,72.1,256.3,13,11.5,0,468.52,36.3,96.6,1835.3,7306.07,0
533,13210.45,0,259.9,282.47,16.2,186.4,0,379.8,68.4,98.8,1837.9,10080.58,0
534,11723.33,0,114.8,487.33,0,11,0,668.98,52.38,213.9,999.81,9175.13,1000
535,13655.81,0,51.3,407.3,36.8,39.35,0,101.3,161.04,278.63,985.4,11594.69,1500
536,13211.13,7,0,601.51,176.59,0,0,489.86,26.88,173.3,841.4,10894.59,0
537,13546.01,0,62.84,722.15,0,0,0,419.9,8.64,139.2,602.2,11591.08,2000
552,11494,0,292.1,778.37,61.7,6,0,721.63,101.66,124.8,673.6,8734.14,0
553,11051.56,0,75.5,421.92,21,72.4,0,369.35,108.48,146,508.2,9328.71,0
564,8116.49,0,70.8,641.06,93.53,21,0,300.4,97.44,105.8,273.9,6512.56,1000
565,8565,0,7.2,302.36,58.8,57.2,0,127.1,45.64,127.5,283.3,7555.9,1000
566,8143.79,0,111.5,872.87,5.5,3,0,427.9,73.92,213.7,223.6,6211.8,0
567,10074.75,0,100.2,1347.55,0,39.75,0,642.25,35.1,258.33,142.4,7509.17,0
572,9333.09,0,153.18,761.18,0,18,0,245.56,4.56,134.61,533.7,7482.3,0
573,6631.12,0,59.7,371.51,0,16.05,0,525.6,27.3,118,582.5,4930.46,0
576,5339.69,0,28.44,328.57,10,0,0,124,8.22,86.99,194,4559.47,1500
577,7625.27,0,36.3,469.46,29.8,47.1,0,317.1,68.66,155.4,524.2,5977.25,2000
580,10499.35,0,165.7,392.16,115.58,4.5,0,428.3,73.02,133.2,1056.6,8130.29,0
581,7657.57,77.24,110.3,321,14,24.75,0,63.4,83.58,53.7,744.2,6165.4,0
584,5972.47,16,16,202.72,60.5,4.5,0,156.46,39.54,68.8,512.7,4895.25,0
585,7906.4,0,17.5,224.55,20,27.2,0,55.6,29.4,60.4,392.6,7079.15,0
596,9716.5,0,185.2,1016.6,10.5,0,0,152.7,22.92,113.2,747.5,7467.88,0
597,10215.78,0,687.92,538.97,0,1.35,0,232.1,21.78,84.8,1194.1,7454.76,0
602,14895.52,0.02,495,1363.76,177.7,0,0,210.26,53.58,42.4,1534.4,11018.4,0
603,15440.73,0,676.5,956.7,42.2,99.65,0,537,110.7,105.6,1846.9,11065.48,0
606,7830.48,0,89,828.05,31.4,0,0,148.1,33.84,61.1,782.7,5856.29,0
607,9189.23,0,88.3,638.54,4,230.25,0,401.6,76.26,52.85,973.93,6723.5,0
612,8821.65,0.08,123.6,492.34,5.5,0,0,40.6,35.16,131.8,2856.82,5135.75,0
613,7870.84,0,258.2,334.84,8.6,7.15,0,97,78.84,95,2202.53,4788.68,0
616,8734.46,0,23.7,568.81,90,2,0,118.96,34.98,84.6,1419.8,6391.61,0
617,6578.98,0,150.9,362.32,2.5,4.5,27,133,36.84,75.4,1019,4767.52,1000
624,10114.73,0,186.4,882.73,7.5,13.05,0,456.02,121.08,123.98,526.3,7797.67,0
625,4847.28,0,54.5,338.85,37,45.35,0,249.9,12.3,43.4,375.7,3690.28,0
626,6549.84,0,284.2,643.23,5.5,0,0,79.5,193.38,204.43,710,4429.6,0
627,5016.17,0,206.8,235.41,2.5,14.45,0,39.6,225.18,273.5,458.3,3560.43,0
634,5449.11,0,30,519.82,39.7,0,0,81.9,39.76,122.9,374.2,4240.83,0
635,3671.37,0,54,311.95,21.8,52.55,0,151.45,13.86,125.1,227.7,2712.96,0
636,10042.79,0,67,1120.61,5,19,0,161.75,39.18,238.7,1044.7,7346.85,0
637,8124.02,0,94.9,326.13,3,95.4,0,277.2,79.68,245.2,605.2,6397.31,1500
648,8971.29,0,30.4,531.1,129,31,0,358.08,54.48,233.9,805.1,6798.23,0
649,9770.68,0,290.1,155.7,0,30.6,0,210.8,115.5,335.1,444.6,8188.28,0
650,9478.61,0.06,118.1,663.89,25,5,0,239.09,31.34,87,903.3,7405.83,2000
651,13275.68,0,181.3,406.03,39.3,17.25,0,123.6,7.2,231.2,676.8,11593,2000
658,8216.38,0,67.5,372.93,18.2,0,0,351.8,24.72,105.7,724.54,6550.99,0
659,8842.99,0,47,284.23,17.1,6.9,0,129.6,59.7,104.3,753.5,7440.66,0
662,11521.59,0,84.7,922.1,22,0,0,227.14,42.36,65.7,1212.4,8945.19,0
663,1732.14,0,35.9,124.5,15,7.8,0,41.4,0,1.57,15.7,1490.27,0
674,14450.9,0,85.5,1173.62,89.4,13,0,169.41,51.84,220.7,3102.5,9544.93,0
675,14304.33,0,212.1,897.86,33.4,15,0,788.2,8.46,218.2,3095.7,9035.41,0
680,9660.42,0,189.2,544.92,97.66,0,0,625.1,137.7,158.2,200.7,7706.94,0
681,7835.19,0,81.6,333.53,5,40.65,0,307.1,146.16,124.3,139.4,6657.45,0
690,10979.36,3.9,13.4,622.5,13.5,12.5,0,378.74,59.82,489.9,760.1,8625,0
691,13438.89,0,139,396.32,57.5,30.15,0,96.5,100.32,636.6,1490,10492.5,0
694,11861.47,0,115.76,1333.52,37,4.5,0,284.05,72.78,175.2,1375.5,8463.16,1500
695,14065.96,15,236.2,1210.68,24.1,120.1,0,655.19,5.04,137,1521.3,10141.35,0
696,11227.44,2.1,103.3,717.18,29.2,15.1,0,273.45,136.78,312.6,282.2,9355.53,0
697,6732.55,0,73.9,286.44,54,44.15,0,206.3,10.98,190.7,140.4,5725.68,0
706,8781.61,0,192.5,994.72,28,19,0,277.21,47.16,112.4,219.1,6891.52,0
707,10733.34,0,252.1,611.57,0,92.25,0,568.1,46.86,125,311.5,8725.96,1000
708,10194.74,0.31,145.1,731.8,6,19.5,0,171.5,11.58,71.7,619.6,8417.65,0
709,12748.52,0,39.8,712.86,49,137.2,0,281.8,39.6,99.6,921.6,10467.06,0
712,13276.17,0,196.8,720.12,48.9,6,0,135.07,162.2,203.5,911.5,10892.08,1000
713,12341.31,0,155.3,386.82,11,20.3,0,85.69,41.34,302.1,551.5,10787.26,2000
714,5977.42,0,104.3,450.01,0,40.5,0,600.18,23.1,29.3,395.5,4334.53,0
715,8943.99,0,15.7,109.07,52,96.95,0,33,21.36,36.5,531.2,8048.21,0
718,11976.75,40,170.1,912.72,12,24,0,181.53,51.3,110.7,1232.8,9241.6,1500
719,12165.27,75,193.3,545.55,53,536.2,0,155.33,80.34,116.1,1213.6,9196.85,1000
732,9504.44,3.2,28.9,332.18,0,9.5,0,360.56,30.84,76.1,671.46,7991.7,0
733,12312.15,299.78,53.4,120.19,29,96.45,0,76.7,17.4,122.7,1025.9,10470.63,1000
742,11878.39,0,195,683.29,0,0,0,1642.65,120.72,173.1,110.1,8953.53,0
743,9774.22,0,47.5,383.01,0,0,0,752.3,220.02,195.1,182.1,7994.19,0
744,9452.29,0.01,238,1185.57,3.5,4,0,195.5,121.64,288.98,966.78,6448.31,0
745,11872.87,0,223.5,1142.38,4,38.4,0,416.33,112.28,229.03,822.1,8884.85,0
746,11386.23,0,102.1,829.87,10,0,0,217.13,36.12,105.7,777.3,9308.01,0
747,13943.19,0,163.6,526.18,25,111.4,0,279.1,14.04,224.61,976.8,11622.46,0
754,9735.47,0.37,133.3,1064.68,1.23,1.92,0,221.9,23.52,272.97,112.4,7903.18,0
755,10500.74,0,11.5,1352.18,4.5,105.85,0,630.3,6.12,490.11,218.82,7681.36,0
756,10448.58,0,104.8,1239.03,39.03,1.9,0,339.4,19.92,188.98,288.9,8226.62,1500
757,10337.77,0,202.5,648.96,2,19.05,0,290.16,0,194.8,389.45,8590.85,1500
762,1356.04,0,26.4,187.76,0,10.8,0,3,0,8.7,124.9,994.48,0
763,4847.94,0,87.8,673.74,0,16.05,0,304,0.1,40.6,678.5,3047.15,0
770,12818.23,4,202.8,1226.57,14,4.5,0,79.52,26.7,191.4,2786.6,8282.14,0
771,10555.12,0,292.92,744.59,1.5,12.75,0,178.9,27.9,148.4,2569.3,6578.86,0
772,5907.29,6.3,11.2,654.06,0,0,0,43.1,8.7,90.4,833.9,4259.63,0
773,11645.17,0,91.1,1017.01,0,0.5,0,1250.3,5.16,212.3,1004.9,8063.9,0
774,7948.97,0.9,34.9,1076.32,188.35,0,0,93.03,16.68,112.23,417.9,6008.66,0
775,7394.36,4.19,58.7,1057.59,16.5,39.2,0,694.75,19.44,233.3,424.2,4846.49,0
786,10021.46,0.04,321.2,988.39,0,0,0,139.8,13.26,88.23,658.9,7811.64,1500
787,13949.11,0,215.1,1137.45,23,64.75,5,450.5,11.4,91.63,1605.84,10344.44,2000
796,5944.45,0,31.6,696.09,2.4,0,0,343.67,172.56,197.1,174.4,4326.63,0
797,11015.1,0,276.6,702.85,0,52.2,0,766.3,25.2,222.3,535.9,8433.75,0
800,6849.98,0,140.3,625.02,40,0,0,122.9,49.54,126.5,290,5455.72,0
801,6842.05,418.08,173,133.47,5,3,25.9,287.1,44.04,142.2,308.4,5301.86,1500
802,9314.7,2.6,152.4,944.8,5,0,0,272.32,44.4,195.89,547.2,7150.09,1000
803,9438.16,0,114.7,626.6,0,91.45,0,277.7,5.52,191.2,658.78,7472.21,1500
816,9764.42,0,303.8,1019.81,0,0,0,215.6,60.18,214.83,1617.64,6332.56,0
817,4341.59,0,73.2,265.51,22.5,9.6,0,170.2,42.72,48.6,639.3,3069.96,0
820,12880.96,3.6,204.4,926.19,0,0,0,154.46,46.56,135.3,2532.1,8878.35,1000
821,14755.55,0,190.95,673.87,28.1,75.9,0,71.6,46.44,309.6,2424.9,10934.19,1500
822,12694.3,0,577.8,900.31,0,0,0,1198.1,7.2,208.7,1421.8,8380.39,0
823,8295.23,0,405.1,252.47,81.1,12.45,0,234.8,0,303.1,1865.2,5141.01,0
824,13605.9,2,13.2,1213.77,169.3,32.2,0,347.73,18.24,177.1,389.5,11242.86,0
825,,,,,,,,,,,,,0
826,14837.21,0,96.1,1732.97,34.5,0,0,263.4,0.54,203.8,643.2,11862.7,0
827,13984.88,0,238.7,558.6,8.5,44.95,0,144.5,10.8,197.9,852.1,11928.83,0
840,18889.54,0,313.5,1105.52,243,20.7,0,348.85,8.04,165.1,1807.62,14877.21,0
841,22729.17,0,266.7,707.17,830.5,535.95,0,46.7,33,256.9,2151.78,17900.47,0
844,13160.08,27,254.2,828.85,148.7,44.4,0,221.47,47.14,155.2,1609.04,9824.08,0
845,17458.8,15,133.1,975.82,520.5,671.65,118,383.89,119.4,246.1,1304.6,12970.74,0
878,8216.67,0,104.8,589.86,0,0,0,53.85,19.72,87.5,1705.4,5655.54,0
879,9633.2,0,132.3,488.05,16.9,62.05,0,313.45,0.84,50,827.83,7741.78,0
882,12438.83,0,107.3,808.41,26.5,6,0,187.53,53.9,45.26,1259.9,9944.03,0
883,14462.4,0,102.7,670.94,23,92.35,0,212.18,34.08,46.1,561.7,12719.35,0
886,7373.81,0,0,669.77,31.5,0,0,90.1,13.26,259.1,443.6,5866.48,0
887,11160.15,-71.06,577.64,282.6,26.5,528.4,0,150,27.54,349.1,457,8832.43,0
890,7047,0,57.8,522.09,0,0,0,76.2,48.24,174.7,886,5281.97,0
891,6673.74,0,59.3,327.27,3.6,110,0,150.3,24.84,196.5,307.6,5494.33,0
894,10218.7,36.3,139.9,736.31,0,3.18,0,54.6,114.24,190,908.2,8035.97,2000
895,10220.66,0,168.8,887.69,19,14.85,0,292.13,61.02,311.8,763.83,7701.54,2000
896,9049.5,17.7,41.2,494.95,0,0,0,57.3,111.42,225.3,1003.9,7097.73,0
897,8751.13,0,262.2,516.77,64.7,6,0,223.03,219.06,317.9,836.22,6305.25,0
898,8671.65,6.6,27.1,628.83,5,0,0,118.59,45.24,102.8,637.1,7100.39,0
899,11027.93,0,85.7,588.17,12.8,11.4,0,84.55,86.58,159.5,694.2,9305.03,1000
900,13467.13,27.4,351.3,1288.3,25.7,4.88,0,142.12,194.06,259,1243.16,9931.21,0
901,14656.49,0,456,1238.54,0,35.65,0,352.15,226.92,520.8,1030.1,10796.33,0
